,sentence_id,words,labels
14302,22543,k'ispiñuta,s
14462,22703,huch'uymanta,adj.
8300,16541,yurakunatapas,s
396,8588,ninkum.,v
2292,10501,kasqachu.,v
7432,15673,rapichakunata,s
2872,11088,yawar,s
4469,12692,waqrata,s
11230,19471,puchkanataq,v
14879,23120,mayqankaqtapas,adv.
8486,16727,wawakunaqa,s
14784,23025,wawa,s
2152,10359,ischu,s
6180,14421,ch'uqñi;,s
8625,16866,uqata,s
7388,15629,kayman,adv.
10376,18617,wasipim,s
8129,16370,ichhuqa,s
1194,9391,Kutiqqa,s
8636,16877,Thutaqa,s
4718,12941,qucha,s
8529,16770,k'amikuyqa,v
5872,14113,hankullata,s
9555,17796,chunka,s
8112,16353,wiñachin.,v
5393,13629,qhipananpaqqa,v
701,8895,waqachinku.,v
11729,19970,iskay,det.
1599,9804,¡Amawtapas,s
13501,21742,mana,adv.
2404,10613,pampaysimusun.,v
8272,16513,chayqa,pron.demostrativo
11062,19303,paqucha,s
7909,16150,huñuypa,s
3202,11418,qullanakunaqa,s
9293,17534,churapuna.,v
10052,18293,anyakun.,v
12844,21085,Kamaqqa,s
12730,20971,wak,adj.
7304,15545,hark'amuwankum.,v
13447,21688,phukuspa,adj.
2551,10766,Waskata,s
48,30564,ñuqanchikhina,pron.
13430,21671,qhari,s
11173,19414,qhachqa,adj.
12143,20384,kaqtaq,conj.
10028,18269,ruphawachkan.,v
2369,10578,pakpaka,s
11244,19485,mikhuq,s
10499,18740,qichunchik,v
11123,19364,¿Mayniqtaq,pron.interrog.
1319,9516,Asnupa,s
12577,20818,sulis,s
6510,14751,chaskikuna.,s
11464,19705,Yuyaq,adj.
8954,17195,sasa,adj.
1657,9862,"rantikusun,",v
2835,11051,taqsamusun.,v
13315,21556,sutinmi:,s
10012,18253,"q'ipin,",v
2287,10496,maytuta,s
11232,19473,pallana.,v
3879,12101,timpuchkanñam.,v
6623,14864,Kay,det.
12650,20891,patapi,adv.
11348,19589,sunkha,adj.
2992,11208,qayna,adj.
14173,22414,"churaqku,",v
11591,19832,p'unchaw,s
7798,16039,"pichqa,",s
13270,21511,"kan,",v
3560,11780,Manam,adv.
13599,21840,tawapas,pron.definido
7550,15791,Ñawpaqqa,adv.
1721,9926,siki,s
12653,20894,Chirimanta,adj.
11145,19386,Chakra,s
1626,9831,kurku.,adj.
10896,19137,warmimanta,s
15120,23361,ichaqa,adv.
12043,20284,napaykuwanku:,v
13322,21563,1/,adj.
4274,12497,miskichu.,adj.
2427,10639,Yupayta,s
6200,14441,Ch'usiq,s
14940,23181,Llama,s
11238,19479,Ñawpa,adj.
716,8910,rinri,s
6303,14544,aysan.,v
9272,17513,Runtupa,s
11437,19678,papaqa,s
710,8904,¿Chillpi,adj.
6175,14416,ch'upu,s
10519,18760,hawaq'ullay,s
7824,16065,hump'iqa,s
6672,14913,"aychayuqmi,",adj.
2456,10668,chayaykamuchkanña.,v
1324,9521,Llullu,adj.
14233,22474,allanapaq,adj.
9728,14921,chaywanqa,pron.
2234,10443,rumita,s
10025,18266,kisata,s
9550,17791,chunka,s
10231,18472,Unquy,s
14273,22514,allpapi,s
10910,19151,p'asñakunata,s
10179,18420,alliyachin.,v
14315,18393,Ñuqanchikqa,pron.
2978,11194,¡Chitakunata,s
11744,19985,unquywan,s
2140,10347,Misiqa,s
14335,22576,tawayuq,adj.
12448,20689,kawallutapas,s
13990,22231,kay,adj.
2830,11046,Chupiqa,s
5918,14159,q'apiyniyuq,adj.
14770,23011,ukhuman,adj.
2719,10934,Ilamkaq,s
7144,15385,Hampikuq,s
12227,20468,allin.,adj.
2673,10888,puka,adj.
9183,17424,Uwiha,s
12747,20988,masintin,adj.
5302,13534,¡Allipuni,adj.
2639,10854,Pisillatam,adj.
9929,18170,mañakuspa,v
10197,18438,pisilla,det.
2240,10449,nanaywanmi,s
12076,20317,"aysana,",v
14728,22969,qañiwa,s
489,8683,aysakuchkan.,v
7112,15353,mach'aqway,s
11237,19478,pallana.,v
1837,10042,akuwanmi,s
1532,9737,Kirunchiktaqa,s
14620,22861,kuchuykukuspaqa,adj.
13586,21827,Apu,s
3823,12045,taqllakunku.,v
8494,16735,tawa,det.
8855,17096,Allquqa,s
15352,23593,sapa,adv.
9715,17956,ruranchik.,v
8434,16675,mañarikuna.,s
12938,21179,way,adj.
7647,15888,hillp'uykuy.,v
3590,11810,sipasllaraqmi.,adj.
7308,15549,ukhunchikta,s
4007,12230,uruta,s
15176,23417,k'urpatapas,s
7026,15267,allpamanta,s
1544,9749,mikurqankichu?,v
14778,23019,runtunpi,s
11642,19883,Muña,s
14331,22572,suyucha,s
6957,15198,Allin,adj.
13023,21264,"mirachin,",v
5024,13250,"awasaqmi,",v
11651,19892,tayta,s
5178,13410,waka,s
2998,11214,punchawmi,s
3341,11560,papata,s
9909,18150,lawata,s
12417,20658,Pisi,adv.
9289,17530,wasintapas,s
4508,12731,wasichachkanku.,v
14448,22689,q'apisqa,adj.
1185,9382,illa,s
10662,18903,pichqa,det.
6338,14579,urin.,v
11948,20189,kay,det.
3496,11716,¡Sinqanta,s
13954,22195,puka,adj.
11921,20162,nak'aspa,v
9830,18071,pachapiqa,s
262,8452,Apachitaman,s
143,8329,yarupasqam.,v
9051,13942,Ñuqaqa,pron.
1130,9324,chakiykita,s
9484,17725,Hayaqinchik,s
15353,23594,qanchis,adj.
2450,10662,Paqarin,s
15372,23613,P'isaq,s
13690,21931,"sansachiqku,",adj.
7271,15512,Wawakunaqa,s
9923,18164,yanqallamanta,adv.
12170,20411,ñawinchay,v
6170,14411,chiri,s
2708,10923,Llampullam,adj.
3881,12103,tintinpa,s
15513,23754,sulis,s
9564,17805,watayuq,s
5764,14005,Ch'akiymi,s
5253,13485,allqu,s
13111,21352,pata,s
4283,12506,sipuyanñam.,v
14716,22957,hak'ulla,loc.
3802,12024,¡Tantata,s
11380,19621,llamk'arqanku.,v
15209,23450,chachakuma,s
7706,15947,"akanpas,",v
7046,15287,puka,adj.
1470,9675,tiqtiqa,s
5509,13746,allpaqa,s
7676,15917,rutuchkasqa…,v
12037,20278,k'aspiqa,s
1182,9379,yapamanta,adv.
3620,11840,waraytam,s
10322,18563,llimp'irquy.,v
2618,10833,kachkan.,v
943,9137,uchkuy.,v
3752,11973,¡Chayllapi,adv.
3165,11381,kachkan.,v
3008,11224,¡Mankata,s
2411,10622,Rumi,s
8387,16628,runakunaqa,s
12722,20963,Huk,adj.
2338,10547,qanrachachkanchik,s
625,8819,rutuqmi,s
13468,21709,phatanman.,v
4457,12680,Tarukapa,s
12221,20462,nispa.,v
14528,22769,antamantaña,adj.
13642,21883,runakuna,s
12640,20881,papa,s
