,index,Unnamed: 0,sentence_id,words,labels
0,0,1742,383,.,O
1,1,6722,1482,',O
2,2,5859,1293,Naoto,B-PER
3,3,424,103,llaqtanqa,I-LOC
4,4,12792,3212,distritu,I-LOC
5,5,12325,2997,Chiwa y,B-LOC
6,6,14545,4303,distritu,I-LOC
7,7,4384,969,Killa pampa,B-LOC
8,8,14724,4406,de,I-LOC
9,9,904,206,mama,I-ORG
10,10,17485,5416,qucha,I-LOC
11,11,4272,946,Kimsa ntin,B-LOC
12,12,4892,1075,Rurrenabaque,B-LOC
13,13,12026,2865,distritu,I-LOC
14,14,3525,786,Nuevo,B-LOC
15,15,10758,2371,Iglesia s,I-PER
16,16,1031,234,parki,I-ORG
17,17,11620,2679,Antonio,B-LOC
18,18,9319,2054,',O
19,19,2278,503,munisipyu,I-LOC
20,20,7788,1716,Kay,O
21,21,8085,1783,Bolívarmantam,I-PER
22,22,3627,809,",",O
23,23,17396,5391,Kama china,I-LOC
24,24,15366,4719,García,I-PER
25,25,11761,2740,distritu,I-LOC
26,26,2192,485,.,O
27,27,16468,5102,Armstrong,I-PER
28,28,13117,3353,distritu,I-LOC
29,29,16797,5207,Fierro,I-PER
30,30,12086,2892,distritu,I-LOC
31,31,9721,2142,河北,O
32,32,13679,3733,P 'allqa,B-LOC
33,33,12154,2924,Wayllati,B-LOC
34,34,16378,5074,Juan,B-PER
35,35,14437,4216,Chupa,B-LOC
36,36,12604,3124,Sara,I-LOC
37,37,13586,3655,Mitu,B-LOC
38,38,16196,5020,Guardia,I-PER
39,39,6789,1497,Kaylluma,B-LOC
40,40,3349,743,kaynin,I-ORG
41,41,7077,1561,.,O
42,42,2260,498,',O
43,43,16069,4975,Gérson,B-PER
44,44,6318,1391,Pardo,I-PER
45,45,8809,1939,Nicolás,B-PER
46,46,10170,2244,pruwinsya,I-LOC
47,47,8294,1831,Candamo,I-PER
48,48,4744,1040,',O
49,49,5626,1242,Manuel,B-PER
50,50,11237,2524,Castañeda,I-LOC
51,51,5915,1305,),O
52,52,3274,727,paniscus,O
53,53,9807,2158,2006,I-ORG
54,54,11003,2423,Piluta,B-ORG
55,55,3505,781,Suntur,I-ORG
56,56,12595,3120,Pararka,B-LOC
57,57,13172,3380,Urqu s,B-LOC
58,58,12671,3157,pruwinsya,I-LOC
59,59,14113,4018,César,I-LOC
60,60,5241,1151,Isabel,I-LOC
61,61,12919,3260,Llapa,B-LOC
62,62,4247,940,warwasku,I-LOC
63,63,7791,1716,Bolívarmantam,I-PER
64,64,2148,475,Kuri,B-LOC
65,65,10575,2331,tajacu,O
66,66,9861,2170,Newton,I-PER
67,67,5530,1218,Pacha ntin,I-ORG
68,68,7682,1693,PUSAPUNA,O
69,69,9048,1996,',O
70,70,11629,2682,Kuru nku,B-LOC
71,71,11493,2628,Longuita,B-LOC
72,72,9956,2192,kaynin,I-ORG
73,73,7483,1651,.,O
74,74,6175,1362,',O
75,75,10294,2271,Davo r,B-PER
76,76,16054,4968,Febus pa,I-PER
77,77,14878,4493,Ricardo pa,B-PER
78,78,12692,3166,distritu,I-LOC
79,79,4376,968,',O
80,80,4371,966,),O
81,81,6045,1332,Ariqipa,I-LOC
82,82,5235,1150,",",O
83,83,553,130,.,O
84,84,8668,1906,suwa,I-LOC
85,85,16060,4972,George s,B-PER
86,86,7177,1586,.,O
87,87,3167,704,Tupaq,B-PER
88,88,5652,1249,wak 'a,I-LOC
89,89,3813,850,pruwinsya,I-LOC
90,90,14809,4444,Sipawa,B-LOC
91,91,11137,2456,Esperanza,I-LOC
92,92,10610,2340,pusapu na,O
93,93,9552,2106,Melgar,I-PER
94,94,5212,1144,pusapu na,O
95,95,15108,4607,Peláez qa,I-PER
96,96,3005,670,Piruwanu,B-ORG
97,97,428,104,Pacha ntin,I-ORG
98,98,12440,3049,distritu,I-LOC
99,99,17175,5336,López,I-PER
100,100,722,165,wamaq,O
101,101,1709,377,José,I-PER
102,102,7749,1708,(,I-LOC
103,103,17178,5337,Fray,B-PER
104,104,2083,458,.,O
105,105,2813,628,',O
106,106,2154,476,Buliwya p,B-LOC
107,107,2475,547,m,O
