,index,Unnamed: 0,sentence_id,words,labels
0,0,14302,22543,k 'ispiñuta,s
1,1,14462,22703,huch 'uy manta,adj.
2,2,8300,16541,yura kunata pas,s
3,3,396,8588,ninkum.,v
4,4,2292,10501,kasqa chu.,v
5,5,7432,15673,rapichakunata,s
6,6,2872,11088,yawar,s
7,7,4469,12692,waqrata,s
8,8,11230,19471,puchka nataq,v
9,9,14879,23120,mayqan kaqta pas,adv.
10,10,8486,16727,wawa kuna qa,s
11,11,14784,23025,wawa,s
12,12,2152,10359,ischu,s
13,13,6180,14421,ch 'uqñi;,s
14,14,8625,16866,uqata,s
15,15,7388,15629,kayman,adv.
16,16,10376,18617,wasipim,s
17,17,8129,16370,ichhu qa,s
18,18,1194,9391,Kutiq qa,s
19,19,8636,16877,Thuta qa,s
20,20,4718,12941,qucha,s
21,21,8529,16770,k 'amikuy qa,v
22,22,5872,14113,hank ullata,s
23,23,9555,17796,chunka,s
24,24,8112,16353,wiñachin.,v
25,25,5393,13629,qhipananpaq qa,v
26,26,701,8895,waqa chin ku.,v
27,27,11729,19970,iskay,det.
28,28,1599,9804,¡Amawta pas,s
29,29,13501,21742,mana,adv.
30,30,2404,10613,pampaysimusun.,v
31,31,8272,16513,chay qa,pron.demostrativo
32,32,11062,19303,pa qucha,s
33,33,7909,16150,huñu ypa,s
34,34,3202,11418,qull an akuna qa,s
35,35,9293,17534,chura puna.,v
36,36,10052,18293,an yakun.,v
37,37,12844,21085,Kamaq qa,s
38,38,12730,20971,wak,adj.
39,39,7304,15545,hark 'amuwankum.,v
40,40,13447,21688,phuku spa,adj.
41,41,2551,10766,Waskata,s
42,42,48,30564,ñuqa nchik hina,pron.
43,43,13430,21671,qhari,s
44,44,11173,19414,qhach qa,adj.
45,45,12143,20384,kaqtaq,conj.
46,46,10028,18269,rupha wa chkan.,v
47,47,2369,10578,pakpaka,s
48,48,11244,19485,mikhuq,s
49,49,10499,18740,qichu nchik,v
50,50,11123,19364,¿Mayniq taq,pron.interrog.
51,51,1319,9516,Asnu pa,s
52,52,12577,20818,suli s,s
53,53,6510,14751,chaski kuna.,s
54,54,11464,19705,Yuyaq,adj.
55,55,8954,17195,sasa,adj.
56,56,1657,9862,"rantikusun,",v
57,57,2835,11051,taqsamusun.,v
58,58,13315,21556,sutin mi:,s
59,59,10012,18253,"q 'ipin,",v
60,60,2287,10496,maytuta,s
61,61,11232,19473,palla na.,v
62,62,3879,12101,timpuchkanñam.,v
63,63,6623,14864,Kay,det.
64,64,12650,20891,pata pi,adv.
65,65,11348,19589,sunkha,adj.
66,66,2992,11208,qayna,adj.
67,67,14173,22414,"churaqku,",v
68,68,11591,19832,p 'unchaw,s
69,69,7798,16039,"pich qa,",s
70,70,13270,21511,"kan,",v
71,71,3560,11780,Manam,adv.
72,72,13599,21840,tawa pas,pron.definido
73,73,7550,15791,Ñawpaq qa,adv.
74,74,1721,9926,siki,s
75,75,12653,20894,Chiri manta,adj.
76,76,11145,19386,Chakra,s
77,77,1626,9831,kurku.,adj.
78,78,10896,19137,warmi manta,s
79,79,15120,23361,icha qa,adv.
80,80,12043,20284,napaykuwan ku:,v
81,81,13322,21563,1 /,adj.
82,82,4274,12497,miski chu.,adj.
83,83,2427,10639,Yu payta,s
84,84,6200,14441,Ch 'usiq,s
85,85,14940,23181,Llama,s
86,86,11238,19479,Ñawpa,adj.
87,87,716,8910,rinri,s
88,88,6303,14544,aysan.,v
89,89,9272,17513,Runtu pa,s
90,90,11437,19678,papa qa,s
91,91,710,8904,¿Chill pi,adj.
92,92,6175,14416,ch 'upu,s
93,93,10519,18760,hawaq 'ulla y,s
94,94,7824,16065,hump 'iqa,s
95,95,6672,14913,"aychayuq mi,",adj.
96,96,2456,10668,chay aykam uchkan ña.,v
97,97,1324,9521,Llullu,adj.
98,98,14233,22474,allan apaq,adj.
99,99,9728,14921,chaywan qa,pron.
100,100,2234,10443,rumita,s
101,101,10025,18266,kisata,s
102,102,9550,17791,chunka,s
103,103,10231,18472,Unquy,s
104,104,14273,22514,allpa pi,s
105,105,10910,19151,p 'asña kunata,s
106,106,10179,18420,alliya chin.,v
107,107,14315,18393,Ñuqanchik qa,pron.
108,108,2978,11194,¡Chita kunata,s
